"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.96 (0.61; 1.31)","0.97 (0.62; 1.32)","0.97 (0.62; 1.32)","0.97 (0.62; 1.32)","0.96 (0.61; 1.31)","1.00 (1.00; 1.00)"
18,"0.97 (0.62; 1.32)","0.97 (0.62; 1.32)","0.96 (0.61; 1.31)","0.97 (0.62; 1.32)","0.93 (0.58; 1.28)","0.97 (0.97; 0.97)"
20,"0.96 (0.61; 1.31)","0.96 (0.61; 1.31)","0.96 (0.61; 1.31)","0.96 (0.61; 1.31)","0.95 (0.60; 1.30)","0.99 (0.99; 0.99)"
25,"0.96 (0.61; 1.31)","0.97 (0.62; 1.32)","0.96 (0.61; 1.31)","0.95 (0.60; 1.30)","0.95 (0.60; 1.30)","0.98 (0.98; 0.98)"
30,"0.97 (0.62; 1.32)","0.97 (0.62; 1.32)","0.96 (0.61; 1.31)","0.95 (0.61; 1.30)","0.93 (0.58; 1.28)","0.95 (0.95; 0.95)"
35,"0.97 (0.62; 1.32)","0.96 (0.61; 1.31)","0.95 (0.60; 1.30)","0.93 (0.58; 1.28)","0.92 (0.57; 1.27)","0.94 (0.94; 0.94)"
40,"0.96 (0.62; 1.31)","0.96 (0.61; 1.31)","0.95 (0.60; 1.30)","0.93 (0.58; 1.28)","0.89 (0.54; 1.24)","0.92 (0.92; 0.92)"
45,"0.96 (0.61; 1.31)","0.96 (0.61; 1.30)","0.93 (0.58; 1.28)","0.93 (0.58; 1.28)","0.88 (0.53; 1.23)","0.91 (0.91; 0.91)"
50,"0.95 (0.60; 1.30)","0.94 (0.59; 1.29)","0.91 (0.56; 1.26)","0.90 (0.55; 1.25)","0.86 (0.51; 1.21)","0.90 (0.90; 0.90)"
55,"0.95 (0.60; 1.30)","0.94 (0.59; 1.28)","0.91 (0.56; 1.26)","0.89 (0.54; 1.24)","0.83 (0.48; 1.18)","0.87 (0.87; 0.87)"
60,"0.95 (0.61; 1.30)","0.93 (0.58; 1.28)","0.92 (0.57; 1.27)","0.91 (0.56; 1.26)","0.86 (0.51; 1.21)","0.90 (0.90; 0.90)"
65,"0.95 (0.60; 1.30)","0.93 (0.58; 1.27)","0.93 (0.58; 1.28)","0.90 (0.55; 1.25)","0.85 (0.50; 1.20)","0.89 (0.89; 0.89)"
70,"0.94 (0.59; 1.29)","0.92 (0.57; 1.27)","0.91 (0.56; 1.26)","0.86 (0.51; 1.21)","0.85 (0.50; 1.20)","0.90 (0.90; 0.90)"
75,"0.93 (0.59; 1.28)","0.89 (0.54; 1.24)","0.90 (0.55; 1.25)","0.89 (0.54; 1.24)","0.83 (0.48; 1.18)","0.89 (0.89; 0.89)"
80,"0.87 (0.52; 1.22)","0.86 (0.51; 1.21)","0.86 (0.51; 1.21)","0.84 (0.49; 1.19)","0.82 (0.47; 1.17)","0.94 (0.94; 0.94)"
85,"0.83 (0.48; 1.18)","0.84 (0.49; 1.19)","0.80 (0.45; 1.15)","0.79 (0.44; 1.14)","0.78 (0.43; 1.13)","0.94 (0.94; 0.94)"
90,"0.80 (0.45; 1.16)","0.76 (0.41; 1.11)","0.76 (0.41; 1.11)","0.79 (0.44; 1.14)","0.69 (0.33; 1.04)","0.86 (0.86; 0.86)"
